#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CCT2	CCT5	1848044	1846664	9606.ENSP00000299300	9606.ENSP00000280326	0	0	0.387	0.829	0.975	0.998	0.900	0	0.999
SMAD3	SMAD2	1851536	1845079	9606.ENSP00000332973	9606.ENSP00000262160	0	0	0	0.987	0	0.991	0.900	0	0.999
UBC	STUB1	1852861	1842759	9606.ENSP00000344818	9606.ENSP00000219548	0	0	0	0	0	0.999	0.900	0	0.999
HDAC2	SP1	1861837	1851138	9606.ENSP00000430432	9606.ENSP00000329357	0	0	0	0	0	0.999	0.900	0	0.999
RBBP4	SIN3A	1855919	1854005	9606.ENSP00000362592	9606.ENSP00000353622	0	0	0	0	0	0.994	0.900	0	0.999
HDAC1	SIN3A	1855935	1854005	9606.ENSP00000362649	9606.ENSP00000353622	0	0	0	0	0	0.999	0.900	0	0.999
TP53	CDKN1A	1846083	1843736	9606.ENSP00000269305	9606.ENSP00000244741	0	0	0	0	0	0.999	0.900	0	0.999
CCND2	CDK4	1844875	1844551	9606.ENSP00000261254	9606.ENSP00000257904	0	0	0	0	0	0.994	0.900	0	0.999
HDAC1	UBC	1855935	1852861	9606.ENSP00000362649	9606.ENSP00000344818	0	0	0	0	0	0.999	0	0	0.999
HDAC2	SIN3A	1861837	1854005	9606.ENSP00000430432	9606.ENSP00000353622	0	0	0	0	0	0.999	0.900	0	0.999
SKI	SMAD3	1856887	1851536	9606.ENSP00000367797	9606.ENSP00000332973	0	0	0	0	0	0.999	0.900	0	0.999
CCT4	TCP1	1858199	1849952	9606.ENSP00000377958	9606.ENSP00000317334	0	0	0.309	0.830	0.770	0.999	0.900	0	0.999
RPS3	UBC	1861952	1852861	9606.ENSP00000433821	9606.ENSP00000344818	0	0	0	0	0.227	0.999	0	0	0.999
TCP1	CCT8	1849952	1847035	9606.ENSP00000317334	9606.ENSP00000286788	0	0	0.239	0.792	0.585	0.996	0.900	0	0.999
TNRC6A	EIF2C1	1858333	1855852	9606.ENSP00000379144	9606.ENSP00000362300	0	0	0	0	0	0.993	0.900	0	0.999
SMAD3	EP300	1851536	1845316	9606.ENSP00000332973	9606.ENSP00000263253	0	0	0	0	0	0.998	0.900	0	0.999
HSPD1	HSPE1	1852284	1843372	9606.ENSP00000340019	9606.ENSP00000233893	0	0	0.261	0	0.916	0.998	0	0	0.999
ZFYVE9	SMAD2	1847085	1845079	9606.ENSP00000287727	9606.ENSP00000262160	0	0	0	0	0	0.999	0.900	0	0.999
MYC	MAX	1856789	1853721	9606.ENSP00000367207	9606.ENSP00000351490	0	0	0	0.720	0	0.999	0.900	0	0.999
HDAC1	SP1	1855935	1851138	9606.ENSP00000362649	9606.ENSP00000329357	0	0	0	0	0	0.999	0.900	0	0.999
CDKN1A	CCND1	1843736	1843117	9606.ENSP00000244741	9606.ENSP00000227507	0	0	0	0	0	0.999	0.900	0	0.999
CTNNB1	CREBBP	1852818	1845124	9606.ENSP00000344456	9606.ENSP00000262367	0	0	0	0	0	0.996	0.900	0	0.999
SMAD3	ZFYVE9	1851536	1847085	9606.ENSP00000332973	9606.ENSP00000287727	0	0	0	0	0	0.994	0.900	0	0.999
CREBBP	ESR1	1845124	1842435	9606.ENSP00000262367	9606.ENSP00000206249	0	0	0	0	0	0.998	0.900	0	0.999
UBA52	RPS15A	1859324	1850066	9606.ENSP00000388107	9606.ENSP00000318646	0	0	0	0	0.975	0.784	0.900	0	0.999
ITCH	UBC	1856193	1852861	9606.ENSP00000363998	9606.ENSP00000344818	0	0	0	0	0	0.999	0.900	0	0.999
CXCR4	UBC	1859216	1852861	9606.ENSP00000386884	9606.ENSP00000344818	0	0	0	0	0	0.999	0	0	0.999
SMURF1	SMAD7	1854172	1845078	9606.ENSP00000354621	9606.ENSP00000262158	0	0	0	0	0	0.999	0.900	0	0.999
CCT8	CCT7	1847035	1844568	9606.ENSP00000286788	9606.ENSP00000258091	0	0	0.450	0.752	0.585	0.999	0.900	0	0.999
CDK6	CCND1	1845799	1843117	9606.ENSP00000265734	9606.ENSP00000227507	0	0	0	0	0	0.999	0.900	0	0.999
JUN	UBC	1855436	1852861	9606.ENSP00000360266	9606.ENSP00000344818	0	0	0	0	0	0.999	0	0	0.999
SP1	EP300	1851138	1845316	9606.ENSP00000329357	9606.ENSP00000263253	0	0	0	0	0	0.999	0.900	0	0.999
TP53	KAT2B	1846083	1845408	9606.ENSP00000269305	9606.ENSP00000263754	0	0	0	0	0	0.999	0.900	0	0.999
UBC	SMAD4	1852861	1852473	9606.ENSP00000344818	9606.ENSP00000341551	0	0	0	0	0	0.999	0.900	0	0.999
UBC	AXIN1	1852861	1845118	9606.ENSP00000344818	9606.ENSP00000262320	0	0	0	0	0	0.996	0.900	0	0.999
TCP1	CCT3	1849952	1847605	9606.ENSP00000317334	9606.ENSP00000295688	0	0	0.402	0.836	0.737	0.999	0.900	0	0.999
KAT2B	CREBBP	1845408	1845124	9606.ENSP00000263754	9606.ENSP00000262367	0	0	0	0	0	0.991	0.900	0	0.999
HDAC2	HDAC1	1861837	1855935	9606.ENSP00000430432	9606.ENSP00000362649	0	0	0.527	0.984	0	0.999	0.900	0	0.999
ATF2	MAPK14	1845482	1843222	9606.ENSP00000264110	9606.ENSP00000229794	0	0	0	0	0	0.999	0.900	0	0.999
CCND2	CDKN1A	1844875	1843736	9606.ENSP00000261254	9606.ENSP00000244741	0	0	0	0	0	0.998	0.900	0	0.999
TP53	EP300	1846083	1845316	9606.ENSP00000269305	9606.ENSP00000263253	0	0	0	0	0	0.999	0.900	0	0.999
SMAD4	SMAD3	1852473	1851536	9606.ENSP00000341551	9606.ENSP00000332973	0	0	0	0.772	0	0.999	0.900	0	0.999
TCP1	CCT5	1849952	1846664	9606.ENSP00000317334	9606.ENSP00000280326	0	0	0.282	0.816	0.744	0.999	0.900	0	0.999
UBC	CDC25A	1852861	1848560	9606.ENSP00000344818	9606.ENSP00000303706	0	0	0	0	0	0.994	0.900	0	0.999
SMAD4	SP1	1852473	1851138	9606.ENSP00000341551	9606.ENSP00000329357	0	0	0	0	0	0.992	0.900	0	0.999
CCT3	CCT8	1847605	1847035	9606.ENSP00000295688	9606.ENSP00000286788	0	0	0.327	0.734	0.975	0.999	0.900	0	0.999
CCND3	CDKN1A	1855798	1843736	9606.ENSP00000362082	9606.ENSP00000244741	0	0	0	0	0	0.999	0.800	0	0.999
EP300	ESR1	1845316	1842435	9606.ENSP00000263253	9606.ENSP00000206249	0	0	0	0	0	0.999	0.900	0	0.999
UBC	CCND1	1852861	1843117	9606.ENSP00000344818	9606.ENSP00000227507	0	0	0	0	0	0.999	0.900	0	0.999
EP300	MYOD1	1845316	1843984	9606.ENSP00000263253	9606.ENSP00000250003	0	0	0	0	0	0.996	0.900	0	0.999
HDAC1	ESR1	1855935	1842435	9606.ENSP00000362649	9606.ENSP00000206249	0	0	0	0	0	0.998	0.900	0	0.999
SMAD3	SKIL	1851536	1844666	9606.ENSP00000332973	9606.ENSP00000259119	0	0	0	0	0	0.997	0.900	0	0.999
TRIM33	SMAD4	1853689	1852473	9606.ENSP00000351250	9606.ENSP00000341551	0	0	0	0	0	0.994	0.900	0	0.999
CCT3	CCT7	1847605	1844568	9606.ENSP00000295688	9606.ENSP00000258091	0	0	0.331	0.838	0.737	0.998	0.900	0	0.999
UBC	SMAD2	1852861	1845079	9606.ENSP00000344818	9606.ENSP00000262160	0	0	0	0	0	0.999	0.900	0	0.999
FKBP1A	TGFBR1	1857423	1856216	9606.ENSP00000371138	9606.ENSP00000364133	0	0	0	0	0	0.997	0.900	0	0.999
TP53	CREBBP	1846083	1845124	9606.ENSP00000269305	9606.ENSP00000262367	0	0	0	0	0	0.999	0.900	0	0.999
UBA52	UBC	1859324	1852861	9606.ENSP00000388107	9606.ENSP00000344818	0	0	0	0.962	0.181	0.995	0.900	0	0.999
UBC	CDKN1B	1852861	1843169	9606.ENSP00000344818	9606.ENSP00000228872	0	0	0	0	0	0.999	0.900	0	0.999
HIF1A	CREBBP	1852062	1845124	9606.ENSP00000338018	9606.ENSP00000262367	0	0	0	0	0	0.998	0.900	0	0.999
TCP1	CCT2	1849952	1848044	9606.ENSP00000317334	9606.ENSP00000299300	0	0	0.327	0.846	0.865	0.999	0.900	0	0.999
CCT3	CCT5	1847605	1846664	9606.ENSP00000295688	9606.ENSP00000280326	0	0	0.301	0.850	0.975	0.998	0.900	0	0.999
TGFBR1	TGFB1	1856216	1842869	9606.ENSP00000364133	9606.ENSP00000221930	0	0	0	0	0	0.996	0.900	0	0.999
RPS3	RPS23	1861952	1847772	9606.ENSP00000433821	9606.ENSP00000296674	0	0	0	0	0.975	0.999	0.900	0	0.999
CCT4	CCT7	1858199	1844568	9606.ENSP00000377958	9606.ENSP00000258091	0	0	0.448	0.856	0.770	0.999	0.900	0	0.999
RPS15A	RPS23	1850066	1847772	9606.ENSP00000318646	9606.ENSP00000296674	0	0	0	0	0.938	0.999	0.900	0	0.999
TFDP2	E2F1	1861493	1852951	9606.ENSP00000420616	9606.ENSP00000345571	0	0	0	0	0.073	0.999	0.900	0	0.999
BMI1	RNF2	1856537	1854609	9606.ENSP00000365851	9606.ENSP00000356480	0	0	0	0	0	0.999	0.900	0	0.999
CTNNB1	AXIN1	1852818	1845118	9606.ENSP00000344456	9606.ENSP00000262320	0	0	0	0	0	0.999	0.900	0	0.999
RPS3	UBA52	1861952	1859324	9606.ENSP00000433821	9606.ENSP00000388107	0	0	0	0	0.975	0.937	0.900	0	0.999
RPS3	RPS15A	1861952	1850066	9606.ENSP00000433821	9606.ENSP00000318646	0	0	0	0	0.975	0.999	0.900	0	0.999
TFDP1	RBL1	1856285	1855962	9606.ENSP00000364519	9606.ENSP00000362768	0	0	0	0	0.095	0.999	0.900	0	0.999
MDM2	TP53	1861282	1846083	9606.ENSP00000417281	9606.ENSP00000269305	0	0	0	0	0.167	0.999	0.900	0	0.999
CCT5	CCT7	1846664	1844568	9606.ENSP00000280326	9606.ENSP00000258091	0	0	0.255	0.812	0.744	0.997	0.900	0	0.999
RBBP4	SUZ12	1855919	1849881	9606.ENSP00000362592	9606.ENSP00000316578	0	0	0	0	0	0.990	0.900	0	0.999
UBC	TP53	1852861	1846083	9606.ENSP00000344818	9606.ENSP00000269305	0	0	0	0	0	0.999	0.900	0	0.999
TCP1	CCT7	1849952	1844568	9606.ENSP00000317334	9606.ENSP00000258091	0	0	0.219	0.850	0.633	0.998	0.900	0	0.999
RPS23	RPS27A	1847772	1846244	9606.ENSP00000296674	9606.ENSP00000272317	0	0	0	0	0.958	0.999	0.900	0	0.999
TGFBR2	TGFB1	1853779	1842869	9606.ENSP00000351905	9606.ENSP00000221930	0	0	0	0	0	0.999	0.900	0	0.999
JUN	FOS	1855436	1848822	9606.ENSP00000360266	9606.ENSP00000306245	0	0	0	0	0.168	0.999	0.900	0	0.999
CDK6	CDKN2C	1845799	1845196	9606.ENSP00000265734	9606.ENSP00000262662	0	0	0	0	0	0.999	0.900	0	0.999
SMAD3	CREBBP	1851536	1845124	9606.ENSP00000332973	9606.ENSP00000262367	0	0	0	0	0	0.996	0.900	0	0.999
RPS3	RPS27A	1861952	1846244	9606.ENSP00000433821	9606.ENSP00000272317	0	0	0	0	0.974	0.999	0.900	0	0.999
UBC	SMAD7	1852861	1845078	9606.ENSP00000344818	9606.ENSP00000262158	0	0	0	0	0	0.999	0.900	0	0.999
SKI	SMAD2	1856887	1845079	9606.ENSP00000367797	9606.ENSP00000262160	0	0	0	0	0	0.999	0.900	0	0.999
EZH2	SUZ12	1850211	1849881	9606.ENSP00000320147	9606.ENSP00000316578	0	0	0	0	0.096	0.999	0.900	0	0.999
SMAD4	SMAD2	1852473	1845079	9606.ENSP00000341551	9606.ENSP00000262160	0	0	0	0.750	0	0.999	0.900	0	0.999
CCND3	CDK6	1855798	1845799	9606.ENSP00000362082	9606.ENSP00000265734	0	0	0	0	0	0.999	0.900	0	0.999
UBC	CDKN1A	1852861	1843736	9606.ENSP00000344818	9606.ENSP00000244741	0	0	0	0	0	0.999	0.900	0	0.999
TFDP1	E2F1	1856285	1852951	9606.ENSP00000364519	9606.ENSP00000345571	0	0	0	0	0.073	0.999	0.900	0	0.999
JUN	CREBBP	1855436	1845124	9606.ENSP00000360266	9606.ENSP00000262367	0	0	0	0	0	0.992	0.900	0	0.999
RPS13	RPS27A	1862013	1846244	9606.ENSP00000435777	9606.ENSP00000272317	0	0	0	0	0.966	0.999	0.900	0	0.999
HDAC1	EP300	1855935	1845316	9606.ENSP00000362649	9606.ENSP00000263253	0	0	0	0	0	0.990	0.900	0	0.999
CDKN1B	CCND1	1843169	1843117	9606.ENSP00000228872	9606.ENSP00000227507	0	0	0	0	0	0.999	0.900	0	0.999
HDAC2	RBBP7	1861837	1857150	9606.ENSP00000430432	9606.ENSP00000369424	0	0	0	0	0.161	0.998	0.900	0	0.999
UBE2D1	STUB1	1856011	1842759	9606.ENSP00000363019	9606.ENSP00000219548	0	0	0	0	0	0.999	0	0	0.999
SIN3B	HDAC1	1857097	1855935	9606.ENSP00000369131	9606.ENSP00000362649	0	0	0	0	0	0.997	0.900	0	0.999
SP1	ESR1	1851138	1842435	9606.ENSP00000329357	9606.ENSP00000206249	0	0	0	0	0	0.999	0.800	0	0.999
NEDD4L	UBC	1858810	1852861	9606.ENSP00000383199	9606.ENSP00000344818	0	0	0	0	0	0.997	0.900	0	0.999
JUN	EP300	1855436	1845316	9606.ENSP00000360266	9606.ENSP00000263253	0	0	0	0	0	0.996	0.900	0	0.999
CCT2	CCT3	1848044	1847605	9606.ENSP00000299300	9606.ENSP00000295688	0	0	0.282	0.777	0.938	0.999	0.900	0	0.999
MDM2	CDKN2A	1861282	1859838	9606.ENSP00000417281	9606.ENSP00000394932	0	0	0	0	0	0.999	0.900	0	0.999
TGFBR1	TGFBR2	1856216	1853779	9606.ENSP00000364133	9606.ENSP00000351905	0	0	0	0.808	0.077	0.999	0.900	0	0.999
CDK4	CCND1	1844551	1843117	9606.ENSP00000257904	9606.ENSP00000227507	0	0	0	0	0	0.999	0.900	0	0.999
FOXH1	SMAD2	1856663	1845079	9606.ENSP00000366534	9606.ENSP00000262160	0	0	0	0	0	0.999	0.900	0	0.999
KPNB1	NUP153	1847208	1845057	9606.ENSP00000290158	9606.ENSP00000262077	0	0	0	0	0.145	0.998	0.900	0	0.999
CCT8	CCT5	1847035	1846664	9606.ENSP00000286788	9606.ENSP00000280326	0	0	0	0.792	0.975	0.997	0.900	0	0.999
RPS13	RPS23	1862013	1847772	9606.ENSP00000435777	9606.ENSP00000296674	0	0	0	0	0.970	0.999	0.900	0	0.999
SMAD2	SKIL	1845079	1844666	9606.ENSP00000262160	9606.ENSP00000259119	0	0	0	0	0	0.997	0.900	0	0.999
HDAC2	RBBP4	1861837	1855919	9606.ENSP00000430432	9606.ENSP00000362592	0	0	0	0	0.161	0.999	0.900	0	0.999
UBC	HIF1A	1852861	1852062	9606.ENSP00000344818	9606.ENSP00000338018	0	0	0	0	0	0.999	0.900	0	0.999
RBBP7	HDAC1	1857150	1855935	9606.ENSP00000369424	9606.ENSP00000362649	0	0	0	0	0.161	0.999	0.900	0	0.999
SP1	TP53	1851138	1846083	9606.ENSP00000329357	9606.ENSP00000269305	0	0	0	0	0	0.999	0.900	0	0.999
TGFBR1	SMAD2	1856216	1845079	9606.ENSP00000364133	9606.ENSP00000262160	0	0	0	0	0	0.996	0.900	0	0.999
CCT4	CCT5	1858199	1846664	9606.ENSP00000377958	9606.ENSP00000280326	0	0	0.421	0.889	0.939	0.995	0.900	0	0.999
CDKN2C	CDK4	1845196	1844551	9606.ENSP00000262662	9606.ENSP00000257904	0	0	0	0	0	0.992	0.900	0	0.999
UBC	PML	1852861	1845989	9606.ENSP00000344818	9606.ENSP00000268058	0	0	0	0	0	0.999	0	0	0.999
HDAC1	RBBP4	1855935	1855919	9606.ENSP00000362649	9606.ENSP00000362592	0	0	0	0	0.161	0.999	0.900	0	0.999
CCT4	CCT2	1858199	1848044	9606.ENSP00000377958	9606.ENSP00000299300	0	0	0.314	0.811	0.895	0.998	0.900	0	0.999
AR	CTNNB1	1856164	1852818	9606.ENSP00000363822	9606.ENSP00000344456	0	0	0	0	0	0.999	0.900	0	0.999
RPS13	RPS3	1862013	1861952	9606.ENSP00000435777	9606.ENSP00000433821	0	0	0	0	0.975	0.999	0.900	0	0.999
CCT4	CCT3	1858199	1847605	9606.ENSP00000377958	9606.ENSP00000295688	0	0	0.487	0.856	0.892	0.999	0.900	0	0.999
HIF1A	EP300	1852062	1845316	9606.ENSP00000338018	9606.ENSP00000263253	0	0	0	0	0	0.999	0.900	0	0.999
TP53	PML	1846083	1845989	9606.ENSP00000269305	9606.ENSP00000268058	0	0	0	0	0	0.999	0.900	0	0.999
CDK4	CDKN1A	1844551	1843736	9606.ENSP00000257904	9606.ENSP00000244741	0	0	0	0	0	0.999	0.900	0	0.999
JUN	ATF3	1855436	1852803	9606.ENSP00000360266	9606.ENSP00000344352	0	0	0	0	0.239	0.996	0.900	0	0.999
RBL1	CDK2	1855962	1845906	9606.ENSP00000362768	9606.ENSP00000266970	0	0	0	0	0.069	0.990	0.900	0	0.999
GNB1	GNAI3	1856899	1855121	9606.ENSP00000367869	9606.ENSP00000358867	0	0	0	0	0.181	0.999	0.900	0	0.999
CDK2	CDKN1A	1845906	1843736	9606.ENSP00000266970	9606.ENSP00000244741	0	0	0	0	0	0.999	0.900	0	0.999
SMAD3	SP1	1851536	1851138	9606.ENSP00000332973	9606.ENSP00000329357	0	0	0	0	0	0.992	0.900	0	0.999
UBC	SMAD3	1852861	1851536	9606.ENSP00000344818	9606.ENSP00000332973	0	0	0	0	0	0.999	0.900	0	0.999
SKI	SMAD4	1856887	1852473	9606.ENSP00000367797	9606.ENSP00000341551	0	0	0	0	0.064	0.999	0.900	0	0.999
TGFBR1	TGFB3	1856216	1843496	9606.ENSP00000364133	9606.ENSP00000238682	0	0	0	0	0	0.992	0.900	0	0.999
UBC	NPM1	1852861	1847808	9606.ENSP00000344818	9606.ENSP00000296930	0	0	0	0	0	0.999	0	0	0.998
CDKN2A	NPM1	1859838	1847808	9606.ENSP00000394932	9606.ENSP00000296930	0	0	0	0	0	0.999	0	0	0.998
HDAC2	TP53	1861837	1846083	9606.ENSP00000430432	9606.ENSP00000269305	0	0	0	0	0	0.999	0	0	0.998
TFDP2	E2F4	1861493	1857021	9606.ENSP00000420616	9606.ENSP00000368686	0	0	0	0	0.100	0.988	0.900	0	0.998
CCT4	UBC	1858199	1852861	9606.ENSP00000377958	9606.ENSP00000344818	0	0	0	0	0	0.998	0	0	0.998
E2F1	SP1	1852951	1851138	9606.ENSP00000345571	9606.ENSP00000329357	0	0	0	0	0	0.982	0.900	0	0.998
CDKN2A	UBC	1859838	1852861	9606.ENSP00000394932	9606.ENSP00000344818	0	0	0	0	0	0.998	0	0	0.998
AR	UBC	1856164	1852861	9606.ENSP00000363822	9606.ENSP00000344818	0	0	0	0	0	0.999	0	0	0.998
MDM2	EP300	1861282	1845316	9606.ENSP00000417281	9606.ENSP00000263253	0	0	0	0	0	0.982	0.900	0	0.998
SMAD4	EP300	1852473	1845316	9606.ENSP00000341551	9606.ENSP00000263253	0	0	0	0	0	0.982	0.900	0	0.998
SKI	SIN3A	1856887	1854005	9606.ENSP00000367797	9606.ENSP00000353622	0	0	0	0	0	0.982	0.900	0	0.998
ATF2	CREBBP	1845482	1845124	9606.ENSP00000264110	9606.ENSP00000262367	0	0	0	0	0	0.982	0.900	0	0.998
CREBBP	SMAD2	1845124	1845079	9606.ENSP00000262367	9606.ENSP00000262160	0	0	0	0	0	0.984	0.900	0	0.998
TP53	CDK2	1846083	1845906	9606.ENSP00000269305	9606.ENSP00000266970	0	0	0	0	0	0.982	0.900	0	0.998
NCOR2	ESR1	1858893	1842435	9606.ENSP00000384018	9606.ENSP00000206249	0	0	0	0	0	0.983	0.900	0	0.998
TRIM33	SMAD3	1853689	1851536	9606.ENSP00000351250	9606.ENSP00000332973	0	0	0	0	0	0.983	0.900	0	0.998
TP53	STUB1	1846083	1842759	9606.ENSP00000269305	9606.ENSP00000219548	0	0	0	0	0	0.999	0	0	0.998
CXCR4	CXCL12	1859216	1858332	9606.ENSP00000386884	9606.ENSP00000379140	0	0	0	0	0	0.982	0.900	0	0.998
UBC	ESR1	1852861	1842435	9606.ENSP00000344818	9606.ENSP00000206249	0	0	0	0	0	0.999	0	0	0.998
HDAC2	SUZ12	1861837	1849881	9606.ENSP00000430432	9606.ENSP00000316578	0	0	0	0	0	0.983	0.900	0	0.998
CDKN2B	CDK4	1846519	1844551	9606.ENSP00000276925	9606.ENSP00000257904	0	0	0	0	0	0.988	0.900	0	0.998
CDC25A	CDK2	1848560	1845906	9606.ENSP00000303706	9606.ENSP00000266970	0	0	0	0	0.076	0.983	0.900	0	0.998
KAT2B	EP300	1845408	1845316	9606.ENSP00000263754	9606.ENSP00000263253	0	0	0	0	0	0.984	0.900	0	0.998
RPS27A	TP53	1846244	1846083	9606.ENSP00000272317	9606.ENSP00000269305	0	0	0	0	0	0.987	0.900	0	0.998
MAPK11	ATF2	1851615	1845482	9606.ENSP00000333685	9606.ENSP00000264110	0	0	0	0	0	0.987	0.900	0	0.998
KAT2B	MYOD1	1845408	1843984	9606.ENSP00000263754	9606.ENSP00000250003	0	0	0	0	0	0.982	0.900	0	0.998
GNAS	UBC	1855402	1852861	9606.ENSP00000360141	9606.ENSP00000344818	0	0	0	0	0	0.998	0	0	0.998
RBL1	E2F1	1855962	1852951	9606.ENSP00000362768	9606.ENSP00000345571	0	0	0	0	0	0.989	0.900	0	0.998
MYC	EP300	1856789	1845316	9606.ENSP00000367207	9606.ENSP00000263253	0	0	0	0	0	0.983	0.900	0	0.998
MYC	UBC	1856789	1852861	9606.ENSP00000367207	9606.ENSP00000344818	0	0	0	0	0	0.999	0	0	0.998
TRIM33	SMAD2	1853689	1845079	9606.ENSP00000351250	9606.ENSP00000262160	0	0	0	0	0	0.988	0.900	0	0.998
MDM2	PML	1861282	1845989	9606.ENSP00000417281	9606.ENSP00000268058	0	0	0	0	0	0.998	0	0	0.998
AR	CREBBP	1856164	1845124	9606.ENSP00000363822	9606.ENSP00000262367	0	0	0	0	0	0.982	0.900	0	0.998
HDAC1	TP53	1855935	1846083	9606.ENSP00000362649	9606.ENSP00000269305	0	0	0	0	0	0.999	0	0	0.998
E2F1	UBC	1852951	1852861	9606.ENSP00000345571	9606.ENSP00000344818	0	0	0	0	0	0.999	0	0	0.998
JUN	SMAD3	1855436	1851536	9606.ENSP00000360266	9606.ENSP00000332973	0	0	0	0	0	0.983	0.900	0	0.998
UBC	HSPA9	1852861	1847834	9606.ENSP00000344818	9606.ENSP00000297185	0	0	0	0	0	0.997	0	0	0.997
TP53	PIN1	1846083	1843886	9606.ENSP00000269305	9606.ENSP00000247970	0	0	0	0	0	0.980	0.900	0	0.997
UBC	TRIP12	1852861	1846877	9606.ENSP00000344818	9606.ENSP00000283943	0	0	0	0	0	0.997	0	0	0.997
